Down,ToGo,YardLine,Expected Points
1,1,99,6.279536474
2,1,99,5.952167675
3,1,99,5.407862417
4,1,99,3.268872291
1,2,98,5.988690973
2,1,98,4.612448832
2,2,98,5.584088226
3,1,98,4.077655261
3,2,98,4.956870626
4,1,98,2.885050855
4,2,98,3.010225901
1,3,97,5.787911641
2,1,97,4.673042092
2,2,97,4.477040248
2,3,97,5.348163239
3,1,97,4.148174493
3,2,97,3.9289998
3,3,97,4.685163183
4,1,97,2.956710361
4,2,97,2.885543686
4,3,97,2.964877877
1,4,96,5.592035305
2,1,96,4.543315848
2,2,96,4.587022588
2,3,96,4.417987162
2,4,96,5.167130699
3,1,96,3.906286842
3,2,96,3.920732013
3,3,96,3.765954954
3,4,96,4.408626678
4,1,96,3.028911143
4,2,96,2.884635441
4,3,96,2.883890319
4,4,96,2.947276744
1,5,95,5.436957177
2,1,95,4.754219535
2,2,95,4.590862894
2,3,95,4.325355986
2,4,95,4.386070005
2,5,95,5.024754469
3,1,95,4.131193356
3,2,95,3.916575565
3,3,95,3.811366371
3,4,95,3.624798065
3,5,95,4.286742271
4,1,95,2.746006312
4,2,95,2.787133187
4,3,95,2.869358532
4,4,95,2.868786251
4,5,95,2.924581744
1,4,94,4.498336002
1,5,94,4.286448559
1,6,94,5.334811449
2,1,94,4.597795638
2,2,94,4.444577797
2,3,94,4.407116204
2,4,94,4.387640786
2,5,94,4.229469048
2,6,94,4.839371233
3,1,94,4.071700071
3,2,94,3.773775379
3,3,94,3.75282408
3,4,94,3.610078037
3,5,94,3.560119008
3,6,94,4.060028821
4,1,94,2.817743588
4,2,94,2.847285599
4,3,94,2.871333707
4,4,94,2.876571303
4,5,94,2.838032564
4,6,94,2.878300444
1,5,93,4.757710378
1,7,93,5.145662997
2,1,93,4.445066163
2,2,93,4.599705318
2,3,93,4.39869634
2,4,93,4.296597272
2,5,93,4.364858937
2,6,93,4.14312552
2,7,93,4.743960565
3,1,93,4.008781432
3,2,93,3.857420102
3,3,93,3.688203855
3,4,93,3.637857521
3,5,93,3.566520818
3,6,93,3.636134039
3,7,93,4.014878608
4,1,93,2.84646021
4,2,93,2.827772789
4,3,93,2.839049432
4,4,93,2.72079104
4,5,93,2.888134752
4,6,93,2.808486236
4,7,93,2.88993991
1,1,92,0
1,5,92,4.977250264
1,6,92,4.910012199
1,8,92,5.083464743
2,1,92,4.466463208
2,2,92,4.56052502
2,3,92,4.306258984
2,4,92,4.234382815
2,5,92,4.366839927
2,6,92,4.31076991
2,7,92,4.260826331
2,8,92,4.634145537
3,1,92,3.825523858
3,2,92,3.942683246
3,3,92,3.755941692
3,4,92,3.616230655
3,5,92,3.593271699
3,6,92,3.459602176
3,7,92,3.515831624
3,8,92,3.922143952
4,1,92,2.800299214
4,2,92,2.858175837
4,3,92,2.8708749
4,4,92,2.884117195
4,5,92,2.853377694
4,6,92,2.793744961
4,7,92,2.829271554
4,8,92,2.886677595
1,5,91,4.40635465
1,9,91,4.910520065
2,1,91,4.597743014
2,2,91,4.524042394
2,3,91,4.357791144
2,4,91,4.318909824
2,5,91,4.207072768
2,6,91,4.263099454
2,7,91,4.198244099
2,8,91,4.218333481
2,9,91,4.46863933
3,1,91,4.036874293
3,2,91,3.834567367
3,3,91,3.628629462
3,4,91,3.654017062
3,5,91,3.539685294
3,6,91,3.51416124
3,7,91,3.485992126
3,8,91,3.490338552
3,9,91,3.757351136
4,1,91,2.82641479
4,2,91,2.879140694
4,3,91,2.820815142
4,4,91,2.80778709
4,5,91,2.787027816
4,6,91,2.830802985
4,7,91,2.86563774
4,8,91,2.842127138
4,9,91,2.882115935
1,5,90,4.652317677
1,10,90,4.813756142
2,1,90,4.663667285
2,2,90,4.373283651
2,3,90,4.241989135
2,4,90,4.210992388
2,5,90,4.186160335
2,6,90,4.205838704
2,7,90,4.174011538
2,8,90,4.165842777
2,9,90,4.142382689
2,10,90,4.34742758
3,1,90,4.045041413
3,2,90,3.77771478
3,3,90,3.646070624
3,4,90,3.557285751
3,5,90,3.511218219
3,6,90,3.466309654
3,7,90,3.360354562
3,8,90,3.429559687
3,9,90,3.460629948
3,10,90,3.648530307
4,1,90,2.791615652
4,2,90,2.771419331
4,3,90,2.782351651
4,4,90,2.844626795
4,5,90,2.826331433
4,6,90,2.825155818
4,7,90,2.820125201
4,8,90,2.841246739
4,9,90,2.852687157
4,10,90,2.809203565
1,5,89,4.845634639
1,10,89,4.378382146
1,11,89,4.73957598
2,1,89,4.514455794
2,2,89,4.456623638
2,3,89,4.403403806
2,4,89,4.228143964
2,5,89,4.024119269
2,6,89,4.154104855
2,7,89,4.041403488
2,8,89,4.068438948
2,9,89,4.156493431
2,10,89,3.948800848
2,11,89,4.106581231
3,1,89,3.976762265
3,2,89,3.865368468
3,3,89,3.661350531
3,4,89,3.582643648
3,5,89,3.534025103
3,6,89,3.430958887
3,7,89,3.387669188
3,8,89,3.425444948
3,9,89,3.387707485
3,10,89,3.185342163
3,11,89,3.675056639
4,1,89,2.743827243
4,2,89,2.730111468
4,3,89,2.79704387
4,4,89,2.782588531
4,5,89,2.806538444
4,6,89,2.898538149
4,7,89,2.813552573
4,8,89,2.800542974
4,9,89,2.805197703
4,10,89,2.73070715
4,11,89,2.788390134
1,5,88,4.661211349
1,10,88,4.383609834
1,12,88,4.72773954
2,1,88,4.587418124
2,2,88,4.349763491
2,3,88,4.385287518
2,4,88,4.204077373
2,5,88,4.151220925
2,6,88,4.128268966
2,7,88,4.056537554
2,8,88,4.148871556
2,9,88,4.065448855
2,10,88,3.878730885
2,11,88,3.618495031
2,12,88,4.320623223
3,1,88,4.037375628
3,2,88,3.79971802
3,3,88,3.699159137
3,4,88,3.656094758
3,5,88,3.387824234
3,6,88,3.400877265
3,7,88,3.287755775
3,8,88,3.281380032
3,9,88,3.410925651
3,10,88,3.200040983
3,11,88,3.204696587
3,12,88,3.39284088
4,1,88,2.793620685
4,2,88,2.751212062
4,3,88,2.780871998
4,4,88,2.733217936
4,5,88,2.770229839
4,6,88,2.7412182
4,7,88,2.798018832
4,8,88,2.831024529
4,9,88,2.829977997
4,10,88,2.798642412
4,11,88,2.798400065
4,12,88,2.766736826
1,1,87,5.466142515
1,5,87,4.773497028
1,10,87,4.318524032
1,13,87,4.6733131
2,1,87,4.542914733
2,2,87,4.43503372
2,3,87,4.119037929
2,4,87,4.153502122
2,5,87,4.207497841
2,6,87,4.26842934
2,7,87,4.132750376
2,8,87,4.056797152
2,9,87,4.041232761
2,10,87,3.823415691
2,11,87,3.292732347
2,12,87,3.889608284
2,13,87,4.332298945
3,1,87,3.980512842
3,2,87,3.780868129
3,3,87,3.653540963
3,4,87,3.553679152
3,5,87,3.341230405
3,6,87,3.41162378
3,7,87,3.439396018
3,8,87,3.357117158
3,9,87,3.270122023
3,10,87,3.160513343
3,11,87,3.254365965
3,12,87,3.015451679
3,13,87,3.653379771
4,1,87,2.615577367
4,2,87,2.671502545
4,3,87,2.747792669
4,4,87,2.714209088
4,5,87,2.74746156
4,6,87,2.661311027
4,7,87,2.730451171
4,8,87,2.772877309
4,9,87,2.787398574
4,10,87,2.68893633
4,11,87,2.737381685
4,12,87,2.807487529
4,13,87,2.797996381
1,5,86,4.662269028
1,9,86,4.553706906
1,10,86,4.262755975
1,14,86,4.387886087
2,1,86,4.44546624
2,2,86,4.412604599
2,3,86,4.310922184
2,4,86,4.179015915
2,5,86,4.066056685
2,6,86,4.144260817
2,7,86,4.039656535
2,8,86,4.066503171
2,9,86,3.97597823
2,10,86,3.80605718
2,11,86,3.239807432
2,12,86,3.79233536
2,13,86,3.87777631
2,14,86,4.305496982
3,1,86,3.839401483
3,2,86,3.760799823
3,3,86,3.628649164
3,4,86,3.488795109
3,5,86,3.408453758
3,6,86,3.413526002
3,7,86,3.412203625
3,8,86,3.356143102
3,9,86,3.138226478
3,10,86,3.087426715
3,11,86,3.233193886
3,12,86,2.972529354
3,13,86,3.313822313
3,14,86,3.61003585
4,1,86,2.644498573
4,2,86,2.688877377
4,3,86,2.746231682
4,4,86,2.709298419
4,5,86,2.67024861
4,6,86,2.777903702
4,7,86,2.739517893
4,8,86,2.731798185
4,9,86,2.755569758
4,10,86,2.651233337
4,11,86,2.778047598
4,12,86,2.779136256
4,13,86,2.778271081
4,14,86,2.768265495
1,5,85,4.479536664
1,10,85,4.28199953
1,15,85,4.481888404
2,1,85,4.456129608
2,2,85,4.013276681
2,3,85,4.176767612
2,4,85,4.090544881
2,5,85,4.079433037
2,6,85,4.173088366
2,7,85,4.117419572
2,8,85,3.978055026
2,9,85,3.937721626
2,10,85,3.741862073
2,11,85,2.897471696
2,12,85,3.622794483
2,13,85,3.809507105
2,14,85,3.790130236
2,15,85,4.141977152
3,1,85,3.918216052
3,2,85,3.566137008
3,3,85,3.573857202
3,4,85,3.441031923
3,5,85,3.393175722
3,6,85,3.447275753
3,7,85,3.282522218
3,8,85,3.250790219
3,9,85,3.235473145
3,10,85,3.033283236
3,11,85,3.116031752
3,12,85,2.825979324
3,13,85,3.08233327
3,14,85,2.844287618
3,15,85,3.449735252
4,1,85,2.464954218
4,2,85,2.641228269
4,3,85,2.698050578
4,4,85,2.683053496
4,5,85,2.552606308
4,6,85,2.668237596
4,7,85,2.688995053
4,8,85,2.701221075
4,9,85,2.711335254
4,10,85,2.514337794
4,11,85,2.667806907
4,12,85,2.742475348
4,13,85,2.631527663
4,14,85,2.746279801
4,15,85,2.72938387
1,3,84,3.824506617
1,5,84,4.697898516
1,10,84,4.231096092
1,12,84,4.473878665
1,15,84,4.022208459
1,16,84,4.376986472
2,1,84,4.542735897
2,2,84,4.277246237
2,3,84,4.124006637
2,4,84,4.107972843
2,5,84,4.080279893
2,6,84,4.115175914
2,7,84,4.101773034
2,8,84,3.931174904
2,9,84,3.939184936
2,10,84,3.798165807
2,11,84,3.623041887
2,12,84,3.191563008
2,13,84,3.836803059
2,14,84,3.908071183
2,15,84,3.638899355
2,16,84,4.14592081
3,1,84,3.880706803
3,2,84,3.702329617
3,3,84,3.49273994
3,4,84,3.441168831
3,5,84,3.416720267
3,6,84,3.321564775
3,7,84,3.382399211
3,8,84,3.338420658
3,9,84,3.285245075
3,10,84,3.039347421
3,11,84,3.102565494
3,12,84,2.207438382
3,13,84,3.093634968
3,14,84,3.007635741
3,15,84,2.878076229
3,16,84,3.526349634
4,1,84,2.541317598
4,2,84,2.648973073
4,3,84,2.669763185
4,4,84,2.526455413
4,5,84,2.651277534
4,6,84,2.673746217
4,7,84,2.651099185
4,8,84,2.634012871
4,9,84,2.650654074
4,10,84,2.643824699
4,11,84,2.623995058
4,12,84,2.663211559
4,13,84,2.634751257
4,14,84,2.650964427
4,15,84,2.655095401
4,16,84,2.70044765
1,5,83,4.680029026
1,10,83,4.193824036
1,11,83,4.301164371
1,15,83,4.203550814
1,17,83,4.291611471
2,1,83,4.539499887
2,2,83,4.297501964
2,3,83,4.198132127
2,4,83,4.12690704
2,5,83,3.922074568
2,6,83,4.045193354
2,7,83,3.993101223
2,8,83,3.951243006
2,9,83,4.020510991
2,10,83,3.750587628
2,11,83,3.04599056
2,12,83,3.803757586
2,13,83,3.971584296
2,14,83,3.808850965
2,15,83,3.644658047
2,16,83,3.765392459
2,17,83,3.928033136
3,1,83,3.858710746
3,2,83,3.658003742
3,3,83,3.465016156
3,4,83,3.410276373
3,5,83,3.324451095
3,6,83,3.400882118
3,7,83,3.172235852
3,8,83,3.259802313
3,9,83,3.242875558
3,10,83,3.071852606
3,11,83,2.854040756
3,12,83,3.08795721
3,13,83,3.083384964
3,14,83,3.092491809
3,15,83,2.986045692
3,16,83,3.074977323
3,17,83,3.34412964
4,1,83,2.508016039
4,2,83,2.576925759
4,3,83,2.582652661
4,4,83,2.581729374
4,5,83,2.554929537
4,6,83,2.63435559
4,7,83,2.52540625
4,8,83,2.631760746
4,9,83,2.597378744
4,10,83,2.510936491
4,11,83,2.601715438
4,12,83,2.578057079
4,13,83,2.569403275
4,14,83,2.643390965
4,15,83,2.46952619
4,16,83,2.638603415
4,17,83,2.650239454
